reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
f7d4482c-d7d2-4fc0-9bce-5fd0b4d9ab06,Hüseyin Efe,https://play-lh.googleusercontent.com/a/ACg8ocIMTwgc_QZ-WixBWud44SZeMmk78pzzy3Go30otcwTXvhK6dw=mo,paribu hesabimizi nasıl oyuna bagliyacaz yardımcı olur musunuz lütfen,1,0,2.0.2,2025-08-12 18:35:59,,,2.0.2
93bf3a77-be68-4547-abbb-aceb5e118980,Serap Daşdelen,https://play-lh.googleusercontent.com/a/ACg8ocKciMTbm8-EKQCt6Ty4Kb3Yt8eXtOgKemCLFh6d5syJGPZwYA=mo,"Oynadığım en kötü oyunlardan biri. Her yeri hatalarla dolu. Doğru düzgün bir taktik oluşturma yok, transfer sistemi saçma sapan, günde 50 tane falan reklam izlemeniz lazım ki bir yere varabilesiniz. Diyelim ki çok iyi oynadınız oyunu, tüm maçlarınızı kazandınız,her gün reklamları izlediniz, oyunun hatalarından bıkmadınız falan ve ilk 100 içine girdiniz. Eğer para kazanma amacınız varsa unutun çünkü 10 tane referansı olan 1000. sizin kazanacağınızın 20 katını falan kazanacak muhtemelen.",1,2,,2025-08-11 18:22:30,"Merhaba Başkan, oyunun büyümesine katkısı açısından kullanıcı daveti bizim için önemli fakat sezon sonu ödüllerinde 4 kriterimiz var. Saatlik kazanç, lig performansı ve taktik puan üzerinden değerlendirmeler de hesaplanıyor. Oyunumuzu her gün geliştirip daha zevkli hale getiriyoruz. Dilerseniz destek için Topluluk Kanalı'ndan ulaşabilirsiniz.",2025-08-12 10:43:21,
2e5578e7-bae0-4024-9b71-deb6b945ff7d,Davut Cesur,https://play-lh.googleusercontent.com/a-/ALV-UjVygAvb0v0Rl9Qmj2Tn2pN_ZPKfe7LGaa9G67kPDj43-c4YtbI,saçma sapan pari bu uygulamasıni indirmek ne ya. normal cüzdandi daha önce buda yeni mi çıktı. sırf reklam için uygulamayı indirip kimlik bilgilerini mi paylaşıcaz. dolandırıcı siniz.,1,0,,2025-08-07 23:54:02,"Merhaba, işbirliği yaptığımız cüzdan sistemi maksimum güvenlikli ve milyonlarca kullanıcısı olan bir sistem; ödülünüzü size gönderebilmemiz için bu gerekli. Cüzdan bilgisi paylaşmamanız durumunda oyunu oynamaya devam edebilirsiniz, sadece ödülünüze erişemezsiniz.",2025-08-11 13:00:44,
0c05c2d1-df40-4096-a1e1-aa07a50c7470,Hasancan Kaptan,https://play-lh.googleusercontent.com/a-/ALV-UjXb49c_O0nb2lf9PXmPzZomC9U93C7lqZdUF6_N5rqpaH7oBtyq,ref kasarak kazanılıyor değerleri boş fazla vermiyor gönderdikleri yerdede parayı kullanamiyorsun boş bir uygulama,1,0,,2025-08-07 19:44:47,"Ödülünüz oyunda toplam 4 kriter üzerinden değerlendiriliyor, kullanıcı davetleriniz bunlardan sadece bir tanesi. Ödülünüzü gönderdiğimiz yerden şahsi banka hesabınız dahil her yere gönderim yapabiliyorsunuz. Gönderim ücreti de tarafımızca hesabınıza yükleniyor. Destek almak isterseniz Telegram'da topluluk kanalı üzerinden iletişime geçebilirsiniz.",2025-08-11 13:02:42,
56a6f13d-20a6-4171-bd62-4b81f6c27586,Tarık Şen,https://play-lh.googleusercontent.com/a/ACg8ocKaTdtnMxqVR9flbJocWYsNLNQsuWYD-Gww4zVss9WycKWYEA=mo,oyunu 10 gündür oynuyorum. Bir Yıldız vermenin sebepleri ; Oyunda inanılmaz bilgi eksiklikleri var. Kılavuz diye yazmışlar. Tıklıyorsunuz YouTube kanalına gönderiyor. Orada da genel geçer bilgiler harici birşey yok. Gördüğüm 3 farklı coin tipi var. sarı olan saatlik kazanç onu anladık. ne işe yarıyor onuda anladık. peki diğer ikisi ne işe yarıyor kardeşim. görevlerden veriliyor biri mavi diğeri lacivert gibi. ne işe yaradıklarını çözemedim. herhangi bir yerde de yazmıyor.,1,5,2.0.2,2025-08-07 18:27:29,"Sevgili Başkan, geri bildiriminiz için çok teşekkürler. Youtube kanalımız genel bilgilendirme içindir. Aklınıza takılan her türlü soru için Telegram'daki topluluk kanalımız üzerinden destek veriyoruz.",2025-08-11 13:03:54,2.0.2
ba0c8f04-4efd-4bb4-b15a-2dd09d31d7b8,Yakup Sezer,https://play-lh.googleusercontent.com/a/ACg8ocI52y32FTskJ-vZuRFBcA0Davy0l6FonkCzC3oOj7bxmsO3Jw=mo,3 gündür transfer yaptırmıyor. birde token ne işe yariyor anlamadım kazandık birikiyor ama duruyor öyle. arada girip bakmak için citir çerez güzel.,4,0,2.0.2,2025-08-03 21:06:43,"Her lig boyunca toplam 3 tane transfer hakkınız bulunuyor, eğer bu haklarınızı kullandıysanız bir sonraki ligde yenilenecektir. Oyundaki ilerlemenizle paralel olarak her sezon sonu ödül kazanırsınız. Destek almak isterseniz Telegram üzerindeki topluluk kanalımızdan ulaşabilirsiniz.",2025-08-11 13:05:00,2.0.2
1bb7408f-7e6c-409b-aacf-a8a27ae28253,Sedat Eliuz,https://play-lh.googleusercontent.com/a/ACg8ocJgNh-ud4xMzkS3NjnSShjT8_a0tjwVeQsiFRs7I-623xDIPQ=mo,"Oyunda gördüğüm kadarıyla çok stratejik derinlik veya keyifli bir oyun deneyimi yok. Oyun ne kadar çok online olur ve ne kadar reklam seyredersen o kadar başarılı olma üzerine kurulmuş. Oyun sizi bolca reklam seyrettirme ve ortak kuruluşlara üyelik üzerine kurulmuş, oynayana pek zevk vermeyen bir yapısı var.",1,1,,2025-08-03 11:15:45,"Sevgili Başkan, geri bildirimleriniz bizim için çok önemli. Oyunu daha zevkli ve oynanabilir kılmak için sürekli geliştirme ve iyileştirmeler yapıyoruz. Reklamların hepsi opsiyonel olarak sunuluyor, reklam izleyerek oyun içindeki ilerlemenizi hızlandırabiliyorsunuz.",2025-08-11 13:06:16,
310ca661-2319-449a-91ac-2bdc0e0bd0c7,Isa Sakarya,https://play-lh.googleusercontent.com/a/ACg8ocK0i-GmspPNWLDfhuMgy5UEPnwq-Freb1MdoeBT0xH8SwfM1w=mo,saatlerce reklam izle dur bu ne ya,1,1,2.0.1,2025-07-28 23:54:05,"Sevgili Başkan, geri bildiriminiz için çok teşekkür ederiz. Oyun içindeki reklamların hepsi opsiyonel olarak sunuluyor, reklam izleyerek oyun içindeki ilerlemenizi hızlandırabiliyorsunuz.",2025-08-11 13:06:50,2.0.1
afab9864-46de-41dd-ae98-1bcfda315953,Adem Şengül,https://play-lh.googleusercontent.com/a-/ALV-UjUUIyDf7NJFk5ad3B7FUB3MTEKVPKSsnCXTtvCpHRr7u2T8t77olw,Mükemmel,5,1,2.0.0,2025-07-26 15:00:13,"Sevgili Başkan, değerlendirmeniz için çok teşekkür ediyoruz.",2025-08-11 13:07:09,2.0.0
539e8a4d-c758-40d5-b9f5-0b632d4b4d98,Memet Binbir,https://play-lh.googleusercontent.com/a/ACg8ocKYspWBu-zjYcNm3JLrBZDr1aOWUGzsoH4pJyfiLdKvOXfeNg=mo,güncelleme var diyor hep guncelledim tam yükseltmeler yapacağız güncelleme çıkıyor,1,1,2.0.1,2025-07-25 19:34:23,"Sevgili Başkan, geri bildirimleriniz bizim için çok önemli. Oyunu daha zevkli ve oynanabilir kılmak için sürekli geliştirme ve iyileştirmeler yapıyoruz. Bu esnada oyunu güncellemeniz gerekebiliyor.",2025-08-11 13:08:24,2.0.1
